epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,14301.1,0.86588,0.39445,0.81782,0.83185,0.71442,0.74256,0.58605,0.74059,0.75149,0.791,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,14495.4,0.85187,0.38799,0.81556,0.83189,0.71466,0.74258,0.58658,0.73933,0.75064,0.79086,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,14688.8,0.85795,0.39117,0.8145,0.83165,0.71494,0.74265,0.58697,0.73783,0.75001,0.79072,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,14882.9,0.85134,0.38588,0.81486,0.83206,0.71483,0.74275,0.58733,0.7363,0.7497,0.79056,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,15077.1,0.84681,0.38457,0.81336,0.83195,0.71516,0.74289,0.58764,0.73506,0.74901,0.79043,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,15271.1,0.84997,0.38498,0.81321,0.83205,0.71546,0.743,0.58803,0.73381,0.74835,0.79031,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,15465.1,0.83143,0.37927,0.81313,0.83249,0.71519,0.74311,0.58847,0.73238,0.7478,0.79018,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,15659.3,0.82699,0.37637,0.81206,0.83214,0.71582,0.74326,0.58937,0.73029,0.74693,0.78993,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,15853.7,0.81696,0.37219,0.81135,0.83214,0.71631,0.74347,0.58981,0.72877,0.74603,0.78979,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,16047.7,0.83542,0.37806,0.81198,0.83313,0.71566,0.74357,0.59007,0.72726,0.74571,0.78965,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
